metric,value
MAE_kW,0.39207297563552856
RMSE_kW,0.6189054846763611
MAPE_%,62.50153350830078
R2,0.4841764569282532
MAE_kW@step1,0.12786893546581268
MAE_kW@step15,0.32342660427093506
MAE_kW@step30,0.41344186663627625
MAE_kW@step45,0.47593387961387634
MAE_kW@step60,0.5188703536987305
n_params,60028
best_epoch,3
training_time_min,4.95
