metric,value
MAE_kW,0.40705710649490356
RMSE_kW,0.63504958152771
MAPE_%,64.10872650146484
R2,0.456915020942688
MAE_kW@step1,0.1134534403681755
MAE_kW@step15,0.32948052883148193
MAE_kW@step30,0.4387807250022888
MAE_kW@step45,0.49579185247421265
MAE_kW@step60,0.5325397253036499
n_params,26748
best_epoch,2
training_time_min,3.48
